User ID,Train Count,Val Count,Test Count,Train ASINs,Val ASINs,Test ASINs
AFJBKPK5W56XWSNPQU2WW66ISWYQ,12,1,1,"B07J3GH1W1, B07LCHCD6Q, B084ZHP45Y, B087Z9X39L, B087ZQK2G8, B0841WQNNZ, B08LYT4Q2X, B08BLX72TP, B08NPBQR9L, B08SQ31H8P, B08N6YHQXT, B08KHRF9NY",B08PLFZB89,B08XJWLLKQ
AF2YKZQRMRGJ655I3MKQUYFGRQGA,16,1,1,"B07VG2W8TT, B086VYKNDF, B086JN17SK, B082VYX7G8, B087Z9X39L, B0BTJ6SYKB, B089RLLT5C, B08DKFV9SR, B0842BXM5M, B083122WRC, B08HZ5Y8RY, B08QFGV5ZQ, B07SLFWZKN, B08PLFZB89, B0895FHBVG, B0998BD871",B085RS26YH,B0994HWXVV
AF3RENOGZJOCO24HPO75EEIF4EHQ,3,1,1,"B07T3Z58HL, B08W8LKLHB, B09BJM95J7",B09KYJJ3D5,B09KX5N1DR
AE3335XF4PMHSXKTW5B7N7EALG3Q,3,1,1,"B086ST4W1C, B08YJV9YL2, B08DXCVRNY",B07NPCT6L5,B07PCGSFGQ
AFZGS7XLGLJFUSUWNX4XA6SGEZQA,7,1,1,"B081632HX6, B084ZHP45Y, B083TLNBJJ, B07KG1TWP5, B08BY91SGT, B08KGVBW41, B07L9H27SH",B08TR1MKHD,B0BTJ6SYKB
AHX2B4DEER2QR3IU3CCNB3CWC6TA,17,1,1,"B081ZN3TD5, B015A5DGG4, B088FBNQXW, B07ZJX5MNJ, B086YBQ8M7, B08BYK8SKR, B088TGQFNM, B086VYKNDF, B08BS3WDPJ, B086MN4SRX, B086XH7BWW, B08DHZW3LK, B08CVCLVS2, B08C2T24WG, B088TXBCB5, B08F79Z1Q5, B08RY6S25W",B08T7GPT1D,B08VJ7CZW3
AEHGY7TZA4IMOXXBGPTZC7UPM6UQ,5,1,1,"B07TLMZL3T, B08VQY1Z1S, B08XZDXTG2, B08VDCWKHV, B08W8LKLHB",B093H28PD4,B09BKK8G76
AGQVYRFKX6G5VO65RHQ7UZKGSTKQ,6,1,1,"B085ZRVDKP, B089QR2Y5B, B08BFH35VX, B089YGZZYP, B08L6GXY2S, B0876VC4KM",B08CVTNQP1,B09GNXK3N1
AEE4M36AZAKURLEYGV23TM3BE7OQ,7,1,1,"B0BG6WX4DH, B086XH7BWW, B0841WQNNZ, B087ZQG11L, B08Q3F3L7S, B08XJWLLKQ, B096S4RQNH",B09KX5N1DR,B009GPP546
AHBFC446AIQBMLC3U4SV6YJJERPQ,8,1,1,"B08FD2KP9R, B083BGJ4P9, B08BB3P4VQ, B0851T7HDS, B08N9RT9YD, B08CZ5JZMZ, B08PLFZB89, B08SG2MBRY",B08LPGZMQK,B009GPP546
